,Title,Sumber,Label,Hasil_Case_Folding,Hasil_Token,Hasil_Stopword,Hasil_Stemming
10,Pemkab Pamekasan vaksin 768 lansia,antaranews,0,pemkab pamekasan vaksin lansia,"['pemkab', 'pamekasan', 'vaksin', 'lansia']","['pemkab', 'pamekasan', 'lansia']","['pemkab', 'pamekasan', 'lansia']"
11,Sentra Vaksinasi Indonesia Bangkit perpanjang vaksinasi bagi lansia,antaranews,0,sentra vaksinasi indonesia bangkit perpanjang vaksinasi bagi lansia,"['sentra', 'vaksinasi', 'indonesia', 'bangkit', 'perpanjang', 'vaksinasi', 'bagi', 'lansia']","['sentra', 'indonesia', 'bangkit', 'perpanjang', 'lansia']","['sentra', 'indonesia', 'bangkit', 'panjang', 'lansia']"
12,Vaksinasi COVID-19 di Indonesia capai 16.203.829 orang,antaranews,0,vaksinasi covid di indonesia capai orang,"['vaksinasi', 'covid', 'di', 'indonesia', 'capai', 'orang']","['', 'indonesia', 'capai', 'orang']","['', 'indonesia', 'capai', 'orang']"
13,Ikhtiar lansia di Riau melawan COVID-19,antaranews,0,ikhtiar lansia di riau melawan covid,"['ikhtiar', 'lansia', 'di', 'riau', 'melawan', 'covid']","['ikhtiar', 'lansia', 'riau', 'melawan', '']","['ikhtiar', 'lansia', 'riau', 'lawan', '']"
14,Kemarin pemerintah siapkan Rp270 miliar untuk Kampus Merdeka Vokasi,antaranews,0,kemarin pemerintah siapkan rp miliar untuk kampus merdeka vokasi,"['kemarin', 'pemerintah', 'siapkan', 'rp', 'miliar', 'untuk', 'kampus', 'merdeka', 'vokasi']","['kemarin', 'pemerintah', 'siapkan', 'rp', 'miliar', 'kampus', 'merdeka', 'vokasi']","['kemarin', 'perintah', 'siap', 'rp', 'miliar', 'kampus', 'merdeka', 'vokasi']"
15,Dinkes sebut 29.183 warga Kendari sudah divaksinasi COVID-19,antaranews,0,dinkes sebut warga kendari sudah divaksinasi covid,"['dinkes', 'sebut', 'warga', 'kendari', 'sudah', 'divaksinasi', 'covid']","['dinkes', 'sebut', 'warga', 'kendari', '']","['dinkes', 'sebut', 'warga', 'kendari', '']"
16,"Satgas: 1,2 juta warga Bali telah divaksinasi COVID-19 dosis pertama",antaranews,0,satgas juta warga bali telah divaksinasi covid dosis pertama,"['satgas', 'juta', 'warga', 'bali', 'telah', 'divaksinasi', 'covid', 'dosis', 'pertama']","['satgas', 'juta', 'warga', 'bali', 'dosis', 'pertama']","['satgas', 'juta', 'warga', 'bal', 'dosis', 'pertama']"
17,Satgas: Vaksin COVID-19 tidak mengandung magnet,antaranews,1,satgas vaksin covid tidak mengandung magnet,"['satgas', 'vaksin', 'covid', 'tidak', 'mengandung', 'magnet']","['satgas', 'mengandung', 'magnet']","['satgas', 'kandung', 'magnet']"
18,Satgas: Hanya sebagian merek vaksin diujicobakan kepada anak-anak,antaranews,0,satgas hanya sebagian merek vaksin diujicobakan kepada anakanak,"['satgas', 'hanya', 'sebagian', 'merek', 'vaksin', 'diujicobakan', 'kepada', 'anakanak']","['satgas', 'sebagian', 'merek', 'diujicobakan', 'anakanak']","['satgas', 'bagi', 'merek', 'diujicobakan', 'anakanak']"
19,Penggunaan vaksin Pfizer untuk pelajar di RI tunggu rekomendasi ahli,antaranews,0,penggunaan vaksin pfizer untuk pelajar di ri tunggu rekomendasi ahli,"['penggunaan', 'vaksin', 'pfizer', 'untuk', 'pelajar', 'di', 'ri', 'tunggu', 'rekomendasi', 'ahli']","['penggunaan', 'pfizer', 'pelajar', 'ri', 'tunggu', 'rekomendasi', 'ahli']","['guna', 'pfizer', 'ajar', 'ri', 'tunggu', 'rekomendasi', 'ahli']"
20,Epidemiolog UGM : Vaksinasi COVID-19 timbulkan rasa aman semu,antaranews,1,epidemiolog ugm vaksinasi covid timbulkan rasa aman semu,"['epidemiolog', 'ugm', 'vaksinasi', 'covid', 'timbulkan', 'rasa', 'aman', 'semu']","['epidemiolog', 'ugm', 'timbulkan', 'rasa', 'aman', 'semu']","['epidemiolog', 'ugm', 'timbul', 'rasa', 'aman', 'semu']"
21,Ahli ingatkan perlunya intensifkan program vaksinasi COVID-19 lansia,antaranews,0,ahli ingatkan perlunya intensifkan program vaksinasi covid lansia,"['ahli', 'ingatkan', 'perlunya', 'intensifkan', 'program', 'vaksinasi', 'covid', 'lansia']","['ahli', 'ingatkan', 'perlunya', 'intensifkan', 'program', 'lansia']","['ahli', 'ingat', 'perlu', 'intensif', 'program', 'lansia']"
22,10.486.399 orang Indonesia telah menerima vaksin COVID-19 dosis ke-2,antaranews,0,orang indonesia telah menerima vaksin covid dosis ke,"['orang', 'indonesia', 'telah', 'menerima', 'vaksin', 'covid', 'dosis', 'ke']","['orang', 'indonesia', 'menerima', 'dosis', '']","['orang', 'indonesia', 'terima', 'dosis', '']"
23,Ketersediaan vaksin COVID-19 terjaga,antaranews,1,ketersediaan vaksin covid terjaga,"['ketersediaan', 'vaksin', 'covid', 'terjaga']","['ketersediaan', 'terjaga']","['sedia', 'jaga']"
24,Perlindungan berlapis untuk semakin produktif di tengah pandemi,antaranews,0,perlindungan berlapis untuk semakin produktif di tengah pandemi,"['perlindungan', 'berlapis', 'untuk', 'semakin', 'produktif', 'di', 'tengah', 'pandemi']","['perlindungan', 'berlapis', 'semakin', 'produktif', 'tengah', 'pandemi']","['lindung', 'lap', 'makin', 'produktif', 'tengah', 'pandemi']"
25,"Humaniora kemarin, varian baru COVID-19 hingga pembajakan buku",antaranews,-1,humaniora kemarin varian baru covid hingga pembajakan buku,"['humaniora', 'kemarin', 'varian', 'baru', 'covid', 'hingga', 'pembajakan', 'buku']","['humaniora', 'kemarin', 'varian', 'baru', 'hingga', 'pembajakan', 'buku']","['humaniora', 'kemarin', 'varian', 'baru', 'hingga', 'baja', 'buku']"
26,"Kemenkes: AstraZeneca aman, masyarakat jangan pilih jenis vaksin",antaranews,1,kemenkes astrazeneca aman masyarakat jangan pilih jenis vaksin,"['kemenkes', 'astrazeneca', 'aman', 'masyarakat', 'jangan', 'pilih', 'jenis', 'vaksin']","['kemenkes', 'astrazeneca', 'aman', 'masyarakat', 'jangan', 'pilih', 'jenis', '']","['kemenkes', 'astrazeneca', 'aman', 'masyarakat', 'jangan', 'pilih', 'jenis', '']"
27,Jumlah penerima vaksin COVID-19 di RI capai 15.703.583 orang,antaranews,1,jumlah penerima vaksin covid di ri capai orang,"['jumlah', 'penerima', 'vaksin', 'covid', 'di', 'ri', 'capai', 'orang']","['jumlah', 'penerima', 'ri', 'capai', 'orang']","['jumlah', 'terima', 'ri', 'capai', 'orang']"
28,Satgas COVID-19 Yogyakarta: Belum ada laporan KIPI vaksin AstraZeneca,antaranews,0,satgas covid yogyakarta belum ada laporan kipi vaksin astrazeneca,"['satgas', 'covid', 'yogyakarta', 'belum', 'ada', 'laporan', 'kipi', 'vaksin', 'astrazeneca']","['satgas', 'yogyakarta', 'laporan', 'kipi', 'astrazeneca']","['satgas', 'yogyakarta', 'lapor', 'kipi', 'astrazeneca']"
29,Kadin Surakarta mulai pendaftaran Program Vaksinasi Gotong Royong,antaranews,0,kadin surakarta mulai pendaftaran program vaksinasi gotong royong,"['kadin', 'surakarta', 'mulai', 'pendaftaran', 'program', 'vaksinasi', 'gotong', 'royong']","['kadin', 'surakarta', 'mulai', 'pendaftaran', 'program', 'gotong', 'royong']","['kadin', 'surakarta', 'mulai', 'daftar', 'program', 'gotong', 'royong']"
30,BPOM:  Vaksin AstraZeneca bets CTMAV547 dapat digunakan kembali,antaranews,0,bpom vaksin astrazeneca bets ctmav dapat digunakan kembali,"['bpom', 'vaksin', 'astrazeneca', 'bets', 'ctmav', 'dapat', 'digunakan', 'kembali']","['bpom', 'astrazeneca', 'bets', 'ctmav', 'digunakan', '']","['bpom', 'astrazeneca', 'bets', 'ctmav', 'guna', '']"
31,Layanan vaksin COVID-19 tanpa turun,antaranews,1,layanan vaksin covid tanpa turun,"['layanan', 'vaksin', 'covid', 'tanpa', 'turun']","['layanan', 'turun']","['layan', 'turun']"
32,Wamenkes: Puncak kasus COVID-19 usai Lebaran terjadi pada Juni,antaranews,-1,wamenkes puncak kasus covid usai lebaran terjadi pada juni,"['wamenkes', 'puncak', 'kasus', 'covid', 'usai', 'lebaran', 'terjadi', 'pada', 'juni']","['wamenkes', 'puncak', 'kasus', 'usai', 'lebaran', 'terjadi', 'juni']","['wamenkes', 'puncak', 'kasus', 'usai', 'lebaran', 'jadi', 'juni']"
33,DPR dukung uji klinis Tahap III Vaksin Nusantara,antaranews,1,dpr dukung uji klinis tahap iii vaksin nusantara,"['dpr', 'dukung', 'uji', 'klinis', 'tahap', 'iii', 'vaksin', 'nusantara']","['dpr', 'dukung', 'uji', 'klinis', 'tahap', 'iii', 'nusantara']","['dpr', 'dukung', 'uji', 'klinis', 'tahap', 'iii', 'nusantara']"
34,Pakar: Ada sedikit penurunan efektivitas vaksin terhadap B1617,antaranews,-1,pakar ada sedikit penurunan efektivitas vaksin terhadap ,"['pakar', 'ada', 'sedikit', 'penurunan', 'efektivitas', 'vaksin', 'terhadap', '']","['pakar', 'sedikit', 'penurunan', 'efektivitas', '']","['pakar', 'sedikit', 'turun', 'efektivitas', '']"
35,"Kemarin, vaksinasi COVID-19, penutupan akses Kudus sampai arah kiblat",antaranews,0,kemarin vaksinasi covid penutupan akses kudus sampai arah kiblat,"['kemarin', 'vaksinasi', 'covid', 'penutupan', 'akses', 'kudus', 'sampai', 'arah', 'kiblat']","['kemarin', 'penutupan', 'akses', 'kudus', 'arah', 'kiblat']","['kemarin', 'tutup', 'akses', 'kudus', 'arah', 'kiblat']"
36,Pemprov Bali tanggapi berita tukang jahit meninggal usai divaksin,antaranews,-1,pemprov bali tanggapi berita tukang jahit meninggal usai divaksin,"['pemprov', 'bali', 'tanggapi', 'berita', 'tukang', 'jahit', 'meninggal', 'usai', 'divaksin']","['pemprov', 'bali', 'tanggapi', 'berita', 'tukang', 'jahit', 'meninggal', 'usai', '']","['pemprov', 'bal', 'tanggap', 'berita', 'tukang', 'jahit', 'tinggal', 'usai', '']"
37,Vaksinasi JCH Banda Aceh dipastikan tuntas sebelum keberangkatan,antaranews,1,vaksinasi jch banda aceh dipastikan tuntas sebelum keberangkatan,"['vaksinasi', 'jch', 'banda', 'aceh', 'dipastikan', 'tuntas', 'sebelum', 'keberangkatan']","['', 'jch', 'banda', 'aceh', 'dipastikan', 'tuntas', 'keberangkatan']","['', 'jch', 'banda', 'aceh', 'pasti', 'tuntas', 'berangkat']"
38,"10,2 juta penduduk Indonesia sudah selesai jalani vaksinasi COVID-19",antaranews,0,juta penduduk indonesia sudah selesai jalani vaksinasi covid,"['juta', 'penduduk', 'indonesia', 'sudah', 'selesai', 'jalani', 'vaksinasi', 'covid']","['juta', 'penduduk', 'indonesia', 'selesai', 'jalani', '']","['juta', 'duduk', 'indonesia', 'selesai', 'jalan', '']"
39,Pro dan kontra risiko AstraZeneca,antaranews,0,pro dan kontra risiko astrazeneca,"['pro', 'dan', 'kontra', 'risiko', 'astrazeneca']","['pro', 'kontra', 'risiko', 'astrazeneca']","['pro', 'kontra', 'risiko', 'astrazeneca']"
40,Babel perpanjang peniadaan transportasi cegah varian baru COVID-19,antaranews,0,babel perpanjang peniadaan transportasi cegah varian baru covid,"['babel', 'perpanjang', 'peniadaan', 'transportasi', 'cegah', 'varian', 'baru', 'covid']","['babel', 'perpanjang', 'peniadaan', 'transportasi', 'cegah', 'varian', 'baru', '']","['babel', 'panjang', 'tiada', 'transportasi', 'cegah', 'varian', 'baru', '']"
41,Menaker dorong percepat vaksinasi calon pekerja migran Indonesia,antaranews,1,menaker dorong percepat vaksinasi calon pekerja migran indonesia,"['menaker', 'dorong', 'percepat', 'vaksinasi', 'calon', 'pekerja', 'migran', 'indonesia']","['menaker', 'dorong', 'percepat', 'calon', 'pekerja', 'migran', 'indonesia']","['menaker', 'dorong', 'cepat', 'calon', 'kerja', 'migran', 'indonesia']"
42,15.330.306 penduduk Indonesia telah mendapat vaksinasi COVID-19,antaranews,0,penduduk indonesia telah mendapat vaksinasi covid,"['penduduk', 'indonesia', 'telah', 'mendapat', 'vaksinasi', 'covid']","['penduduk', 'indonesia', 'mendapat', '']","['duduk', 'indonesia', 'dapat', '']"
43,Satgas: Temuan vaksinasi ilegal wajib jadi refleksi pengawas,antaranews,-1,satgas temuan vaksinasi ilegal wajib jadi refleksi pengawas,"['satgas', 'temuan', 'vaksinasi', 'ilegal', 'wajib', 'jadi', 'refleksi', 'pengawas']","['satgas', 'temuan', 'ilegal', 'wajib', 'jadi', 'refleksi', 'pengawas']","['satgas', 'temu', 'ilegal', 'wajib', 'jadi', 'refleksi', 'awas']"
44,Seluruh pengajar di Surabaya divaksin jelang sekolah tatap muka,antaranews,0,seluruh pengajar di surabaya divaksin jelang sekolah tatap muka,"['seluruh', 'pengajar', 'di', 'surabaya', 'divaksin', 'jelang', 'sekolah', 'tatap', 'muka']","['seluruh', 'pengajar', 'surabaya', 'jelang', 'sekolah', 'tatap', 'muka']","['seluruh', 'ajar', 'surabaya', 'jelang', 'sekolah', 'tatap', 'muka']"
45,8 juta dosis bahan baku vaksin Sinovac tiba di Indonesia,antaranews,0,juta dosis bahan baku vaksin sinovac tiba di indonesia,"['juta', 'dosis', 'bahan', 'baku', 'vaksin', 'sinovac', 'tiba', 'di', 'indonesia']","['juta', 'dosis', 'bahan', 'baku', 'sinovac', 'tiba', 'indonesia']","['juta', 'dosis', 'bahan', 'baku', 'sinovac', 'tiba', 'indonesia']"
46,Jawa Tengah percepat pelaksanaan vaksinasi COVID-19 pada warga lansia,antaranews,1,jawa tengah percepat pelaksanaan vaksinasi covid pada warga lansia,"['jawa', 'tengah', 'percepat', 'pelaksanaan', 'vaksinasi', 'covid', 'pada', 'warga', 'lansia']","['jawa', 'tengah', 'percepat', 'pelaksanaan', 'warga', 'lansia']","['jawa', 'tengah', 'cepat', 'laksana', 'warga', 'lansia']"
47,Delapan juta vaksin Sinovac tiba di Bandara Soetta,antaranews,0,delapan juta vaksin sinovac tiba di bandara soetta,"['delapan', 'juta', 'vaksin', 'sinovac', 'tiba', 'di', 'bandara', 'soetta']","['delapan', 'juta', 'sinovac', 'tiba', 'bandara', 'soetta']","['delapan', 'juta', 'sinovac', 'tiba', 'bandara', 'soetta']"
48,Vaksinasi COVID-19 tahap III mulai Juni 2021,antaranews,0,vaksinasi covid tahap iii mulai juni,"['vaksinasi', 'covid', 'tahap', 'iii', 'mulai', 'juni']","['', 'tahap', 'iii', 'mulai', 'juni']","['', 'tahap', 'iii', 'mulai', 'juni']"
49,Pemerintah terima pasokan bahan baku 8 juta dosis vaksin Sinovac,antaranews,0,pemerintah terima pasokan bahan baku juta dosis vaksin sinovac,"['pemerintah', 'terima', 'pasokan', 'bahan', 'baku', 'juta', 'dosis', 'vaksin', 'sinovac']","['pemerintah', 'terima', 'pasokan', 'bahan', 'baku', 'juta', 'dosis', 'sinovac']","['perintah', 'terima', 'pasok', 'bahan', 'baku', 'juta', 'dosis', 'sinovac']"
50,"Kemarin pemerintah jalankan strategi pentahelix, jamin keamanan vaksin",antaranews,1,kemarin pemerintah jalankan strategi pentahelix jamin keamanan vaksin,"['kemarin', 'pemerintah', 'jalankan', 'strategi', 'pentahelix', 'jamin', 'keamanan', 'vaksin']","['kemarin', 'pemerintah', 'jalankan', 'strategi', 'pentahelix', 'jamin', 'keamanan', '']","['kemarin', 'perintah', 'jalan', 'strategi', 'pentahelix', 'jamin', 'aman', '']"
51,KJRI Hong Kong punya aplikasi pelayanan pekerja migran,antaranews,0,kjri hong kong punya aplikasi pelayanan pekerja migran,"['kjri', 'hong', 'kong', 'punya', 'aplikasi', 'pelayanan', 'pekerja', 'migran']","['kjri', 'hong', 'kong', 'punya', 'aplikasi', 'pelayanan', 'pekerja', 'migran']","['kjri', 'hong', 'kong', 'punya', 'aplikasi', 'layan', 'kerja', 'migran']"
52,"Pemerintah Aceh terbitkan Ingub PPKM, tindaklanjuti instruksi Mendagri",antaranews,0,pemerintah aceh terbitkan ingub ppkm tindaklanjuti instruksi mendagri,"['pemerintah', 'aceh', 'terbitkan', 'ingub', 'ppkm', 'tindaklanjuti', 'instruksi', 'mendagri']","['pemerintah', 'aceh', 'terbitkan', 'ingub', 'ppkm', 'tindaklanjuti', 'instruksi', 'mendagri']","['perintah', 'aceh', 'terbit', 'ingub', 'ppkm', 'tindaklanjuti', 'instruksi', 'mendagri']"
53,Kemenkes jamin vaksin COVID-19 AstraZeneca aman,antaranews,1,kemenkes jamin vaksin covid astrazeneca aman,"['kemenkes', 'jamin', 'vaksin', 'covid', 'astrazeneca', 'aman']","['kemenkes', 'jamin', 'astrazeneca', 'aman']","['kemenkes', 'jamin', 'astrazeneca', 'aman']"
54,Jubir tegaskan vaksin gotong royong gratis,antaranews,1,jubir tegaskan vaksin gotong royong gratis,"['jubir', 'tegaskan', 'vaksin', 'gotong', 'royong', 'gratis']","['jubir', 'tegaskan', 'gotong', 'royong', 'gratis']","['jubir', 'tegas', 'gotong', 'royong', 'gratis']"
55,KPC-PEN : 8 juta vaksin Sinovac kembali datang Selasa,antaranews,0,kpcpen juta vaksin sinovac kembali datang selasa,"['kpcpen', 'juta', 'vaksin', 'sinovac', 'kembali', 'datang', 'selasa']","['kpcpen', 'juta', 'sinovac', 'datang', 'selasa']","['kpcpen', 'juta', 'sinovac', 'datang', 'selasa']"
56,STIE Indonesia minta dukungan LaNyalla jadi Institut Bisnis Teknologi,antaranews,0,stie indonesia minta dukungan lanyalla jadi institut bisnis teknologi,"['stie', 'indonesia', 'minta', 'dukungan', 'lanyalla', 'jadi', 'institut', 'bisnis', 'teknologi']","['stie', 'indonesia', 'minta', 'dukungan', 'lanyalla', 'jadi', 'institut', 'bisnis', 'teknologi']","['stie', 'indonesia', 'minta', 'dukung', 'lanyalla', 'jadi', 'institut', 'bisnis', 'teknologi']"
57,Sebanyak 1.350 karyawan hotel repatriasi menerima vaksin�,antaranews,0,sebanyak karyawan hotel repatriasi menerima vaksin,"['sebanyak', 'karyawan', 'hotel', 'repatriasi', 'menerima', 'vaksin']","['sebanyak', 'karyawan', 'hotel', 'repatriasi', 'menerima', '']","['banyak', 'karyawan', 'hotel', 'repatriasi', 'terima', '']"
58,Pasien sembuh COVID-19 bertambah 5.234 orang,antaranews,1,pasien sembuh covid bertambah orang,"['pasien', 'sembuh', 'covid', 'bertambah', 'orang']","['pasien', 'sembuh', 'bertambah', 'orang']","['pasien', 'sembuh', 'tambah', 'orang']"
59,Penerima vaksin lengkap warga Indonesia bertambah 25.318 jiwa,antaranews,0,penerima vaksin lengkap warga indonesia bertambah jiwa,"['penerima', 'vaksin', 'lengkap', 'warga', 'indonesia', 'bertambah', 'jiwa']","['penerima', 'lengkap', 'warga', 'indonesia', 'bertambah', 'jiwa']","['terima', 'lengkap', 'warga', 'indonesia', 'tambah', 'jiwa']"
60,Kemenkes: Realisasi 1 juta vaksinasi per hari bergulir Juni,antaranews,0,kemenkes realisasi juta vaksinasi per hari bergulir juni,"['kemenkes', 'realisasi', 'juta', 'vaksinasi', 'per', 'hari', 'bergulir', 'juni']","['kemenkes', 'realisasi', 'juta', 'per', 'hari', 'bergulir', 'juni']","['kemenkes', 'realisasi', 'juta', 'per', 'hari', 'gulir', 'juni']"
61,Polresta Pekanbaru jalankan vaksinasi keliling,antaranews,0,polresta pekanbaru jalankan vaksinasi keliling,"['polresta', 'pekanbaru', 'jalankan', 'vaksinasi', 'keliling']","['polresta', 'pekanbaru', 'jalankan', 'keliling']","['polresta', 'pekanbaru', 'jalan', 'keliling']"
62,"""Work from Bali"" dan optimisme bangkit dari pandemi",antaranews,1,work from bali dan optimisme bangkit dari pandemi,"['work', 'from', 'bali', 'dan', 'optimisme', 'bangkit', 'dari', 'pandemi']","['work', 'from', 'bali', 'optimisme', 'bangkit', 'pandemi']","['work', 'from', 'bal', 'optimisme', 'bangkit', 'pandemi']"
63,Satgas: Tingkat kesembuhan pasien COVID-19 Mataram naik signifikan,antaranews,1,satgas tingkat kesembuhan pasien covid mataram naik signifikan,"['satgas', 'tingkat', 'kesembuhan', 'pasien', 'covid', 'mataram', 'naik', 'signifikan']","['satgas', 'tingkat', 'kesembuhan', 'pasien', 'mataram', 'naik', 'signifikan']","['satgas', 'tingkat', 'sembuh', 'pasien', 'mataram', 'naik', 'signifikan']"
64,Kemenag Mataram: Informasi 60 ribu kuota haji 2021 bak angin segar,antaranews,1,kemenag mataram informasi ribu kuota haji bak angin segar,"['kemenag', 'mataram', 'informasi', 'ribu', 'kuota', 'haji', 'bak', 'angin', 'segar']","['kemenag', 'mataram', 'informasi', 'ribu', 'kuota', 'haji', 'bak', 'angin', 'segar']","['kemenag', 'mataram', 'informasi', 'ribu', 'kuota', 'haji', 'bak', 'angin', 'segar']"
65,Satgas COVID-19 Sulsel: 424.078 orang telah disuntik vaksin,antaranews,0,satgas covid sulsel orang telah disuntik vaksin,"['satgas', 'covid', 'sulsel', 'orang', 'telah', 'disuntik', 'vaksin']","['satgas', 'sulsel', 'orang', 'disuntik', '']","['satgas', 'sulsel', 'orang', 'suntik', '']"
66,"Total 14,8 juta penduduk Indonesia telah divaksinasi COVID-19",antaranews,0,total juta penduduk indonesia telah divaksinasi covid,"['total', 'juta', 'penduduk', 'indonesia', 'telah', 'divaksinasi', 'covid']","['total', 'juta', 'penduduk', 'indonesia', '']","['total', 'juta', 'duduk', 'indonesia', '']"
67,Gubernur Riau harap vaksinasi massal di Dumai selesai sepekan,antaranews,0,gubernur riau harap vaksinasi massal di dumai selesai sepekan,"['gubernur', 'riau', 'harap', 'vaksinasi', 'massal', 'di', 'dumai', 'selesai', 'sepekan']","['gubernur', 'riau', 'harap', 'massal', 'dumai', 'selesai', 'sepekan']","['gubernur', 'riau', 'harap', 'massal', 'dumai', 'selesai', 'pek']"
68,Gubernur Riau: Dumai harus habiskan 5.000 dosis vaksin sepekan,antaranews,0,gubernur riau dumai harus habiskan dosis vaksin sepekan,"['gubernur', 'riau', 'dumai', 'harus', 'habiskan', 'dosis', 'vaksin', 'sepekan']","['gubernur', 'riau', 'dumai', 'habiskan', 'dosis', 'sepekan']","['gubernur', 'riau', 'dumai', 'habis', 'dosis', 'pek']"
69,Kalsel kembali giatkan penelusuran kasus COVID-19 setelah Lebaran,antaranews,0,kalsel kembali giatkan penelusuran kasus covid setelah lebaran,"['kalsel', 'kembali', 'giatkan', 'penelusuran', 'kasus', 'covid', 'setelah', 'lebaran']","['kalsel', 'giatkan', 'penelusuran', 'kasus', 'lebaran']","['kalsel', 'giat', 'telusur', 'kasus', 'lebaran']"
70,Pekanbaru gelar vaksinasi massal lagi kini di delapan titik,antaranews,0,pekanbaru gelar vaksinasi massal lagi kini di delapan titik,"['pekanbaru', 'gelar', 'vaksinasi', 'massal', 'lagi', 'kini', 'di', 'delapan', 'titik']","['pekanbaru', 'gelar', 'massal', 'kini', 'delapan', 'titik']","['pekanbaru', 'gelar', 'massal', 'kini', 'delapan', 'titik']"
71,Menaker: Program vaksinasi perkuat kesehatan dan pelindungan pekerja,antaranews,1,menaker program vaksinasi perkuat kesehatan dan pelindungan pekerja,"['menaker', 'program', 'vaksinasi', 'perkuat', 'kesehatan', 'dan', 'pelindungan', 'pekerja']","['menaker', 'program', 'perkuat', 'kesehatan', 'pelindungan', 'pekerja']","['menaker', 'program', 'kuat', 'sehat', 'lindung', 'kerja']"
72,Pemberian vaksin AstraZeneca dilanjutkan,antaranews,0,pemberian vaksin astrazeneca dilanjutkan,"['pemberian', 'vaksin', 'astrazeneca', 'dilanjutkan']","['pemberian', 'astrazeneca', 'dilanjutkan']","['beri', 'astrazeneca', 'lanjut']"
